n,algorithm,array_type,time_us,ops
1000,quick,sorted,11531.802766666508,990321.0
1100,quick,sorted,13977.094433333548,1196261.0
1200,quick,sorted,16617.11803333314,1421325.0
1300,quick,sorted,19815.213899999642,1666111.0
1400,quick,sorted,22487.066666666542,1930383.0
1500,quick,sorted,25844.911133333426,2214311.0
1600,quick,sorted,29306.49723333308,2518005.0
1700,quick,sorted,33355.16666666696,2841415.0
1800,quick,sorted,37675.75973333332,3184479.0
1900,quick,sorted,41438.08193333313,3547253.0
2000,quick,sorted,45729.86666666689,3929745.0
100,heap,sorted,100.00833333331607,5617.0
200,heap,sorted,230.1722333333108,13045.0
300,heap,sorted,379.448633333368,21266.0
400,heap,sorted,530.9930333330233,29836.0
500,heap,sorted,687.5360999998748,38836.0
600,heap,sorted,853.0264000000898,48262.0
700,heap,sorted,1028.7055333331332,57956.0
800,heap,sorted,1195.7055666670158,67877.0
900,heap,sorted,1381.8000000000552,77733.0
1000,heap,sorted,1549.0041666666343,87715.0
1100,heap,sorted,1730.53056666627,97927.0
1200,heap,sorted,1927.161133333281,108422.0
1300,heap,sorted,2116.069433333223,119047.0
1400,heap,sorted,2289.443066666763,129648.0
1500,heap,sorted,2500.931966667016,140567.0
1600,heap,sorted,2706.908333333047,151000.0
1700,heap,sorted,2877.26803333328,161795.0
1800,heap,sorted,3034.715266666884,172541.0
1900,heap,sorted,3234.495833333047,183697.0
2000,heap,sorted,3417.708333333754,194722.0
100,shell,sorted,19.355566666471685,2034.0
200,shell,sorted,43.994433333693905,4874.0
300,shell,sorted,73.24166666696404,7874.0
400,shell,sorted,107.34583333326479,11369.0
500,shell,sorted,143.31110000019484,14869.0
600,shell,sorted,176.8041666664999,18369.0
700,shell,sorted,212.72223333378784,21869.0
800,shell,sorted,253.2194666666025,25864.0
900,shell,sorted,291.36946666691676,29864.0
1000,shell,sorted,329.62639999993826,33864.0
1100,shell,sorted,368.4111000003062,37864.0
1200,shell,sorted,409.59026666674464,41864.0
1300,shell,sorted,453.21803333327654,45864.0
1400,shell,sorted,488.6374999998111,49864.0
1500,shell,sorted,525.249999999744,53864.0
1600,shell,sorted,568.7513666667124,57864.0
1700,shell,sorted,609.2791666664729,61864.0
1800,shell,sorted,648.0596999997108,65864.0
1900,shell,sorted,687.9444333331245,69864.0
2000,shell,sorted,725.534733333196,73864.0
100,tim,sorted,22.020833333632105,1579.0
200,tim,sorted,55.598599999958275,4120.0
300,tim,sorted,98.30276666680979,7365.0
400,tim,sorted,136.16250000012542,10158.0
500,tim,sorted,171.36113333341046,12659.0
600,tim,sorted,245.07776666666814,17604.0
700,tim,sorted,285.47499999973525,20315.0
800,tim,sorted,343.54446666640115,24150.0
900,tim,sorted,391.2194666668256,27540.0
1000,tim,sorted,425.26113333328414,30345.0
1100,tim,sorted,548.8610999999347,38556.0
1200,tim,sorted,585.7847333336015,41219.0
